Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,100-0008-91,,,,,,,BBD,70942122385,LASCO D/MIX CREAMY MALT 120G,24,120G,1,5.55,270,270006,LASCO,right_only
,,100-0008-92,,,,,,,BBD,70942122383,LASCO D/MIX STRAWBERRY 120G,24,120G,1,5.55,190,190005,LASCO,right_only
,,100-0008-93,,,,,,,BBD,70942122380,LASCO D/MIX CARROT 120G,24,120G,1,5.55,190,190005,LASCO,right_only
,,100-0008-94,,,,,,,BBD,70942122384,LASCO D/MIX P/NUT PUNCH 120G,24,120G,1,5.55,190,190005,LASCO,right_only
,,100-0008-95,,,,,,,BBD,70942122390,LASCO ALMOND DRINK MIX120G,24,20G,1,5.55,190,190005,LASCO,right_only
,,100-0008-96,,,,,,,BBD,70942122381,LASCO D/MIX VANILLA 120G,24,120G,1,5.55,190,190005,LASCO,right_only
,,100-0008-98,,,,,,,BBD,70942122382,LASCO D/MIX CHOCOLATE 120G,24,120G,1,5.55,270,270006,LASCO,right_only
,,100-0009-00,,,,,,,BBD,70942122387,LASCO D/MIX P/APPLE ORAN  120G,24,120G,1,5.55,190,190005,LASCO,right_only
,,100-0009-70,,,,,,,B&S,70942130690,LASCO LA SOY MILK FREE 80G,1,80G,1,5.95,310,310004,LASCO,right_only
,,100-0009-72,,,,,,,BBD,70942130700,LASCO LASOY MILKFREE DRINK500G,24,500G,1,27.35,190,190005,LASCO,right_only
